Chem_formula,Temp,Cp,H,G,S,L
Al1Cl1O1,2600,83.052,0.410193258,0.582048174,0.978782941,0.337996809
Al1Cl1O1,2500,83.052,0.318916624,0.115356128,0.796222666,0.170356135
Al1Cl1O1,2400,83.052,0.431695233,0.91993389,0.203452849,0.773875129
Al1Cl1O1,2300,83.036,0.234224461,0.295893063,0.568458155,0.795597463
Al1Cl1O1,2200,83.011,0.489590487,0.035812133,0.42856746,0.901231895
Al1Cl1O1,2100,82.958,0.684388788,0.108429155,0.13793275,0.981888539
Al1Cl1O1,2000,82.885,0.535950587,0.700570933,0.005458592,0.262835369
Al1Cl1O1,1900,82.77,0.003712069,0.385952737,0.394432221,0.816155199
Al1Cl1O1,1800,82.62,0.500456067,0.149512547,0.717184574,0.588305601
Al1Cl1O1,1700,82.435,0.717875528,0.702022169,0.601699797,0.196662727
Al1Cl1O1,1600,82.216,0.813119714,0.80120383,0.784767753,0.478462565
Al1Cl1O1,1500,81.961,0.328017249,0.595539523,0.959381629,0.28683022
Al1Cl1O1,1400,81.672,0.167940868,0.741444644,0.262926772,0.176867753
Al1Cl1O1,1300,81.243,0.575533169,0.16268134,0.450096137,0.370069738
Al1Cl1O1,1200,80.709,0.88143845,0.993397316,0.231959237,0.905900939
Al1Cl1O1,1100,80.04,0.935582927,0.27175053,0.709720194,0.265265772
Al1Cl1O1,1000,79.245,0.247774199,0.450189896,0.760961609,0.905454951
Al1Cl1O1,900,78.168,0.384665102,0.488165622,0.568370912,0.520704903
Al1Cl1O1,800,76.86,0.449302641,0.836142555,0.599350885,0.238220129
Al1Cl1O1,700,74.977,0.643680789,0.502249532,0.064498656,0.725383525
Al1Cl1O1,600,72.634,0.037721465,0.68345853,0.41273211,0.816859674
Al1Cl1O1,500,69.203,0.988318814,0.97619764,0.444762315,0.03013857
Al1Cl1O1,400,64.308,0.218737875,0.717196129,0.6569424,0.393345269
Al1Cl1O1,300,57.112,0.823112055,0.582379983,0.491262151,0.466673561
Al1Cl4K1,900,199.995,0.516443068,0.347478565,0.501939748,0.297152965
Al1Cl4K1,800,196.648,0.606286252,0.272885599,0.838601877,0.477101909
Al1Cl4K1,700,190.79,0.568594552,0.562845549,0.593584596,0.667127616
Al1Cl4K1,600,183.176,0.533467824,0.744358383,0.641980243,0.221801719
Al1Cl4K1,500,174.305,0.689351739,0.896697474,0.909077401,0.914311875
Al1Cl4K1,400,165.477,0.046663783,0.032058982,0.951194154,0.722796492
Al1Cl4K1,300,156.649,0.647245015,0.339446079,0.593153465,0.051445986
Al1Cl4K1,298,156.482,0.425976363,0.618624788,0.074652819,0.858459668
Al1Cl4Na1,298,154.975,0.315950993,0.926430085,0.10314553,0.591446109
Al1Cl4Na1,900,197.276,0.962778813,0.676854897,0.938419404,0.934764967
Al1Cl4Na1,800,193.51,0.731317588,0.950098049,0.073429353,0.967242741
Al1Cl4Na1,700,189.117,0.732280102,0.648805132,0.654114523,0.043208219
Al1Cl4Na1,600,182.422,0.00226681,0.286798371,0.236445504,0.988092494
Al1Cl4Na1,500,174.054,0.357844848,0.032822042,0.311515786,0.182721931
Al1Cl4Na1,400,164.808,0.224457584,0.797666296,0.482586933,0.559007475
Al1Cl4Na1,300,154.808,0.474428115,0.582475152,0.413216139,0.193460549
Al1Cl6K3,298,248.906,0.1386522,0.670473634,0.753141439,0.680253262
Al1Cl6K3,1900,341.362,0.916330596,0.944771179,0.9409882,0.365441801
Al1Cl6K3,1800,339.322,0.417184325,0.753852002,0.701052932,0.609566868
Al1Cl6K3,1700,336.969,0.254117225,0.517042924,0.40545759,0.473376281
Al1Cl6K3,1600,334.302,0.385646396,0.123706361,0.794780518,0.554697959
Al1Cl6K3,1500,331.32,0.93531756,0.203337802,0.131948241,0.873207939
Al1Cl6K3,1400,328.026,0.501553876,0.370621432,0.152798319,0.873583862
Al1Cl6K3,1300,324.103,0.203928836,0.588988753,0.121063011,0.949812378
Al1Cl6K3,1200,319.658,0.853029408,0.184666604,0.408268453,0.295737601
Al1Cl6K3,1100,314.532,0.8100373,0.340722204,0.034198267,0.689431318
Al1Cl6K3,1000,308.779,0.710624349,0.961155718,0.344867496,0.629309696
Al1Cl6K3,900,302.88,0.44808696,0.584404627,0.567960817,0.080773685
Al1Cl6K3,800,295.809,0.399658772,0.274514582,0.06463339,0.652890026
Al1Cl6K3,700,287.859,0.846508496,0.957757277,0.273258265,0.84133791
Al1Cl6K3,600,279.491,0.712507939,0.667207998,0.581361308,0.577287764
Al1Cl6K3,500,269.659,0.285821344,0.67807593,0.06210399,0.300913827
Al1Cl6K3,400,259.157,0.386187087,0.714687536,0.253529201,0.662347462
Al1Cl6K3,300,249.283,0.344999707,0.229841256,0.945495856,0.500543157
Al1Cl6Na3,298,244.136,0.593959436,0.783109358,0.318462083,0.390198351
Al1Cl6Na3,1900,334.825,0.296305562,0.613677764,0.893765705,0.641558327
Al1Cl6Na3,1800,332.21,0.867608595,0.987489165,0.874841065,0.763124407
Al1Cl6Na3,1700,329.385,0.052997836,0.820037895,0.585664928,0.637073814
Al1Cl6Na3,1600,326.352,0.02569003,0.797503784,0.603847628,0.660412302
Al1Cl6Na3,1500,322.796,0.116564952,0.344826692,0.526169257,0.034746538
Al1Cl6Na3,1400,318.821,0.36545634,0.376013712,0.648319942,0.889788996
Al1Cl6Na3,1300,314.741,0.324529763,0.656259167,0.284094335,0.052126136
Al1Cl6Na3,1200,310.453,0.781905316,0.657120555,0.74394517,0.344268121
Al1Cl6Na3,1100,305.72,0.286123572,0.74979836,0.038461825,0.135662866
Al1Cl6Na3,1000,300.62,0.627705694,0.969565948,0.373071003,0.504192076
Al1Cl6Na3,900,294.972,0.080109987,0.353673272,0.834143125,0.603467767
Al1Cl6Na3,800,288.696,0.786086226,0.760241869,0.01574172,0.479746839
Al1Cl6Na3,700,281.165,0.741177405,0.649250253,0.874075578,0.944869587
Al1Cl6Na3,600,273.006,0.265361869,0.047394034,0.317371928,0.232419196
Al1Cl6Na3,500,264.01,0.554055824,0.48211463,0.890156014,0.740975295
Al1Cl6Na3,400,254.387,0.44728206,0.405207052,0.320137972,0.856431278
Al1Cl6Na3,300,244.513,0.458036149,0.285911779,0.663488092,0.477179792
Al1F6Li3,298,202.506,0.260327083,0.248156688,0.662043782,0.818132041
Al1F6Li3,1500,357.732,0.412777534,0.268241881,0.033158069,0.2077235
Al1F6Li3,1400,347.272,0.067231288,0.627470135,0.934609243,0.083503263
Al1F6Li3,1300,336.812,0.349176107,0.293282164,0.532320308,0.833143309
Al1F6Li3,1200,326.352,0.844890908,0.959994201,0.377587482,0.002636155
Al1F6Li3,1100,315.892,0.858890414,0.414618104,0.969999807,0.069409648
Al1F6Li3,1058,311.499,0.545701713,0.190492561,0.340099496,0.821195855
Al1F6Li3,1000,305.432,0.09187835,0.051904617,0.282457095,0.296852552
Al1F6Li3,978,303.131,0.857401037,0.874681231,0.351013193,0.859727089
Al1F6Li3,900,294.972,0.113015857,0.839086304,0.980696378,0.491277769
Al1F6Li3,848,289.533,0.087365559,0.066228426,0.02905728,0.46497691
Al1F6Li3,800,284.512,0.485180766,0.644487465,0.275794829,0.759214733
Al1F6Li3,748,279.073,0.517286923,0.085494859,0.68840363,0.41074239
Al1F6Li3,700,274.052,0.759080814,0.851345527,0.105530355,0.316720942
Al1F6Li3,600,262.295,0.059395323,0.862431216,0.675979587,0.978174969
Al1F6Li3,500,248.111,0.911299274,0.088565528,0.646964073,0.351891262
Al1F6Li3,400,229.869,0.918694766,0.708984144,0.139591376,0.879563764
Al1F6Li3,300,203.133,0.901329265,0.078896231,0.592108244,0.896475697
Al1F6Na3,298,215.727,0.45981409,0.342024627,0.939078465,0.704466746
Al1F6Na3,1100,332.461,0.818955918,0.138990411,0.243461679,0.316947721
Al1F6Na3,1000,318.582,0.503373262,0.232868966,0.129329739,0.888803625
Al1F6Na3,900,304.691,0.096666425,0.671692798,0.141115627,0.565430778
Al1F6Na3,836,295.809,0.580816723,0.076827686,0.388241723,0.185733032
Al1F6Na3,800,290.78,0.965074459,0.300981719,0.072965857,0.639295411
Al1F6Na3,700,276.822,0.772566994,0.483312778,0.25481865,0.62771989
Al1F6Na3,600,262.793,0.090412003,0.215775039,0.915888354,0.37567589
Al1F6Na3,500,248.634,0.817642598,0.623904276,0.448282717,0.513039143
Al1F6Na3,400,236.379,0.470316346,0.65684126,0.452114698,0.988857036
Al1F6Na3,300,216.212,0.82950954,0.812040515,0.023499669,0.597324873
Al1H4Li1,298,86.4,0.313018298,0.701113549,0.502876936,0.963036504
Al1H4Li1,1900,123.763,0.749217646,0.057061875,0.467460737,0.669464014
Al1H4Li1,1800,123.247,0.129303283,0.288778262,0.410089278,0.004529595
Al1H4Li1,1700,122.717,0.090242706,0.154100031,0.817180882,0.903454579
Al1H4Li1,1600,122.173,0.502158599,0.372360055,0.240503435,0.512354097
Al1H4Li1,1500,121.615,0.125383299,0.237746471,0.583883211,0.311952788
Al1H4Li1,1400,121.043,0.662058661,0.097095081,0.537162949,0.069682833
Al1H4Li1,1300,120.416,0.178356394,0.456443121,0.888763912,0.192634455
Al1H4Li1,1200,119.746,0.598832022,0.553392021,0.898353173,0.255937014
Al1H4Li1,1100,118.847,0.773289397,0.238702018,0.982263572,0.222006306
Al1H4Li1,1000,117.78,0.179284163,0.921597817,0.646692093,0.223558748
Al1H4Li1,900,116.2,0.807967336,0.819900202,0.249424656,0.74925674
Al1H4Li1,800,114.223,0.655421198,0.388996288,0.510054904,0.964509073
Al1H4Li1,700,111.294,0.810570081,0.116134709,0.660026135,0.877678936
Al1H4Li1,600,106.901,0.974026941,0.217894274,0.587429237,0.937332272
Al1H4Li1,500,101.253,0.902351034,0.234841356,0.901286442,0.445351512
Al1H4Li1,400,93.722,0.617805821,0.202837926,0.470459838,0.658785276
Al1H4Li1,300,86.944,0.870561924,0.971081138,0.284633736,0.110649493
Al1I3,298,98.91,0.914382183,0.630226415,0.533840004,0.455136427
Al1I3,1400,129.501,0.958948034,0.797015437,0.530289748,0.715815831
Al1I3,1300,129.319,0.713168622,0.639770456,0.492421315,0.523382225
Al1I3,1200,129.16,0.310404057,0.416489178,0.747313527,0.614014266
Al1I3,1100,128.875,0.26129344,0.199118946,0.353645424,0.011920073
Al1I3,1000,128.449,0.558276656,0.816712869,0.520811891,0.698453164
Al1I3,900,127.901,0.877061688,0.727650364,0.000703209,0.441112941
Al1I3,800,126.918,0.289173967,0.99092955,0.752442936,0.623192868
Al1I3,700,125.063,0.532538233,0.704661475,0.810152544,0.232555133
Al1I3,600,121.986,0.836263735,0.138986294,0.136249649,0.09265913
Al1I3,500,116.901,0.00670334,0.862164132,0.245128965,0.856595327
Al1I3,464.15,114.614,0.245092594,0.15760983,0.004687282,0.788832025
Al1I3,400,108.533,0.814517717,0.983140132,0.313165871,0.750470469
Al1I3,300,99.077,0.621815513,0.402004412,0.718469964,0.634401672
Al1Li1O2,298,67.777,0.042211838,0.684301614,0.07659498,0.523459322
Al1Li1O2,2100,117.294,0.650709863,0.90176397,0.731481607,0.019556173
Al1Li1O2,2000,116.022,0.931947686,0.629743916,0.849175292,0.555803534
Al1Li1O2,1973,115.679,0.835083181,0.574517552,0.201697239,0.068125008
Al1Li1O2,1900,114.746,0.208182937,0.088052523,0.601637635,0.306855371
Al1Li1O2,1800,113.449,0.58594579,0.47445001,0.24788891,0.13219897
Al1Li1O2,1700,112.14,0.430084681,0.704161603,0.38472993,0.36427142
Al1Li1O2,1600,110.813,0.910410519,0.42629663,0.967701897,0.761083857
Al1Li1O2,1500,109.466,0.357352119,0.367657846,0.30375898,0.619664209
Al1Li1O2,1400,108.089,0.90157683,0.826741357,0.98353663,0.026154919
Al1Li1O2,1300,106.671,0.384739005,0.226506339,0.0877224,0.521125676
Al1Li1O2,1200,105.198,0.234975667,0.927544685,0.499192721,0.32358306
Al1Li1O2,1100,103.654,0.072828065,0.375018818,0.037683015,0.601116449
Al1Li1O2,1000,102.006,0.430054226,0.952733193,0.0338727,0.367240868
Al1Li1O2,900,100.203,0.48309863,0.338175042,0.641951546,0.255301053
Al1Li1O2,800,98.165,0.45479835,0.6101197,0.757780435,0.676929067
Al1Li1O2,700,95.751,0.167455284,0.562480517,0.486777128,0.111531512
Al1Li1O2,600,92.688,0.661783526,0.438293765,0.184297168,0.301980419
Al1Li1O2,500,88.408,0.793209907,0.676100081,0.929398093,0.791190034
Al1Li1O2,400,81.546,0.828723115,0.297837081,0.688486681,0.595324835
Al1Li1O2,300,68.128,0.327301301,0.360928501,0.6193141,0.573170597
Al1N1,2900,51.845,0.699679343,0.061080217,0.278558828,0.367438059
Al1N1,2800,51.807,0.676775573,0.081263643,0.862439085,0.83898374
Al1N1,2700,51.765,0.200152892,0.255195683,0.102102335,0.297064094
Al1N1,2600,51.718,0.03318913,0.527029692,0.896517693,0.069022408
Al1N1,2500,51.666,0.536626947,0.280590927,0.556507023,0.741487424
Al1N1,2400,51.609,0.224918424,0.908160841,0.766244437,0.543505689
Al1N1,2300,51.543,0.196843133,0.923891834,0.060513208,0.312132308
Al1N1,2200,51.469,0.166935048,0.488564119,0.719095671,0.214833698
Al1N1,2100,51.385,0.000307665,0.694901487,0.021869897,0.173041861
Al1N1,2000,51.29,0.969529576,0.136505001,0.397805717,0.485719509
Al1N1,1900,51.18,0.914645414,0.88352575,0.542872339,0.814051259
Al1N1,1800,51.052,0.58782467,0.388642123,0.155605947,0.81793949
Al1N1,1700,50.903,0.014818591,0.78278592,0.702762481,0.286803196
Al1N1,1600,50.728,0.525483071,0.56508172,0.846699498,0.581859298
Al1N1,1500,50.521,0.575742984,0.991880124,0.583690982,0.216925725
Al1N1,1400,50.272,0.560350285,0.882698896,0.404738037,0.603253011
Al1N1,1300,49.97,0.607160098,0.137189613,0.556775895,0.407897879
Al1N1,1200,49.598,0.716238443,0.254766051,0.505477962,0.377280591
Al1N1,1100,49.136,0.052291197,0.200328891,0.969503699,0.952561523
Al1N1,1000,48.55,0.075518141,0.712101295,0.691967217,0.410959345
Al1N1,900,47.792,0.035166369,0.035379827,0.81944795,0.944368797
Al1N1,800,46.791,0.680687653,0.83623096,0.458235744,0.847600523
Al1N1,700,45.434,0.049338673,0.884592341,0.118021565,0.424102611
Al1N1,600,43.538,0.262355298,0.505221739,0.806169542,0.238875918
Al1N1,500,40.799,0.132178392,0.024456659,0.014293668,0.371534299
Al1N1,400,36.692,0.614032668,0.048088315,0.512946434,0.062786269
Al1N1,300,30.254,0.993041345,0.662390127,0.344503312,0.821140548
Al1N1,298,30.097,0.075541067,0.382544714,0.035160576,0.390468849
Al1Na1O2,298,73.638,0.192652421,0.93227354,0.512623164,0.863665491
Al1Na1O2,2900,129.243,0.978180653,0.726072262,0.284182454,0.679245278
Al1Na1O2,2800,128.666,0.944453851,0.708765282,0.800069723,0.371450132
Al1Na1O2,2700,127.973,0.12209566,0.418722792,0.621794073,0.592942586
Al1Na1O2,2600,127.163,0.265284285,0.590718157,0.332481872,0.298575881
Al1Na1O2,2500,126.237,0.423582238,0.475747223,0.038227456,0.522452507
Al1Na1O2,2400,125.194,0.032161271,0.654202013,0.743482552,0.444222798
Al1Na1O2,2300,124.034,0.479093884,0.190218134,0.088044387,0.476779402
Al1Na1O2,2200,122.759,0.280884425,0.329522552,0.025944164,0.997615225
Al1Na1O2,2100,121.366,0.80729824,0.938543,0.710200917,0.956993502
Al1Na1O2,2000,119.858,0.900315714,0.937794682,0.090318686,0.538456563
Al1Na1O2,1900,118.233,0.598011529,0.667101919,0.861059925,0.835665298
Al1Na1O2,1800,116.491,0.830907075,0.362670781,0.949659286,0.655632639
Al1Na1O2,1700,114.751,0.798013485,0.490037424,0.290663382,0.792171554
Al1Na1O2,1600,112.943,0.806813056,0.063665619,0.713357405,0.654933074
Al1Na1O2,1500,111.169,0.369605522,0.541864854,0.061739074,0.527563167
Al1Na1O2,1400,109.395,0.571815036,0.882591942,0.740647108,0.506959249
Al1Na1O2,1300,107.621,0.082655295,0.908296023,0.843750635,0.747361092
Al1Na1O2,1200,105.847,0.16568518,0.136957443,0.648927682,0.104380057
Al1Na1O2,1100,104.073,0.596103861,0.695539128,0.833708556,0.966389972
Al1Na1O2,1000,102.299,0.028276699,0.432180486,0.397366394,0.052180035
Al1Na1O2,900,100.525,0.00818727,0.439458202,0.244623007,0.971222301
Al1Na1O2,800,98.751,0.990777382,0.515032673,0.222624102,0.488446214
Al1Na1O2,740,99.788,0.8601611,0.816484196,0.801105494,0.452770019
Al1Na1O2,740,97.696,0.802846875,0.927207021,0.385346603,0.783517419
Al1Na1O2,700,98.291,0.485013278,0.711988147,0.244568973,0.604977825
Al1Na1O2,600,94.27,0.648910892,0.744863171,0.1794571,0.035268097
Al1Na1O2,500,89.563,0.872928401,0.726440922,0.00042838,0.876896411
Al1Na1O2,400,83.412,0.984946689,0.001826762,0.681727741,0.791257849
Al1Na1O2,300,73.889,0.451629074,0.820808038,0.033553917,0.472952078
Al2Be1O4,2300,248.548,0.909685972,0.820235692,0.04057766,0.876069204
Al2Be1O4,2200,233.098,0.69377176,0.888603835,0.121897211,0.166767291
Al2Be1O4,2146,226.25,0.56099608,0.136607251,0.17995954,0.482975904
Al2Be1O4,2100,220.19,0.820887737,0.324650744,0.202034208,0.513813523
Al2Be1O4,2000,209.49,0.911917859,0.307598483,0.037393185,0.197424747
Al2Be1O4,1900,201.57,0.568782361,0.427644629,0.387723261,0.446111024
Al2Be1O4,1800,195.79,0.897212137,0.082447675,0.127924718,0.021381441
Al2Be1O4,1700,191.56,0.828342564,0.095462957,0.065481944,0.834591088
Al2Be1O4,1600,188.41,0.718550403,0.424556495,0.258797415,0.97945766
Al2Be1O4,1500,185.91,0.987203001,0.168715007,0.541046254,0.779932781
Al2Be1O4,1400,183.75,0.038529031,0.798429975,0.325365239,0.663352181
Al2Be1O4,1300,181.67,0.176842374,0.641861694,0.057096601,0.210999498
Al2Be1O4,1200,179.48,0.301284332,0.101215619,0.957276686,0.831033484
Al2Be1O4,1100,177.03,0.943051342,0.955173593,0.643717155,0.292533278
Al2Be1O4,1000,174.2,0.301905448,0.820123799,0.41931032,0.318255726
Al2Be1O4,900,170.87,0.224317067,0.001655146,0.199237935,0.889855094
Al2Be1O4,800,166.83,0.988576654,0.363388505,0.020793154,0.864017719
Al2Be1O4,700,161.75,0.133461584,0.86408604,0.507985567,0.157550117
Al2Be1O4,600,154.97,0.76335178,0.850951472,0.632132191,0.113797106
Al2Be1O4,500,145.25,0.970103496,0.441700618,0.914681762,0.048085374
Al2Be1O4,400,130.28,0.059939502,0.089832507,0.64955488,0.159810381
Al2Be1O4,300,105.94,0.85771685,0.844182937,0.591029955,0.004930186
Al2Be1O4,298,105.38,0.253287483,0.459862173,0.337784035,0.420510915
Al2Cl9K3,298,337.23,0.969916075,0.697797843,0.077555338,0.674973576
Al2Cl9K3,1400,466.934,0.823819191,0.566049178,0.131121774,0.035900022
Al2Cl9K3,1300,452.123,0.833355109,0.761898516,0.643362666,0.841611311
Al2Cl9K3,1200,438.818,0.763267404,0.194184807,0.945671452,0.803308474
Al2Cl9K3,1100,427.019,0.413316763,0.632346958,0.49503997,0.085243117
Al2Cl9K3,1000,416.726,0.20888069,0.04648902,0.115746927,0.190470126
Al2Cl9K3,900,407.94,0.253680809,0.391032136,0.397099262,0.378633671
Al2Cl9K3,800,400.66,0.208683286,0.600493911,0.914151424,0.890638687
Al2Cl9K3,700,390.807,0.586460825,0.692055727,0.288150843,0.107826402
Al2Cl9K3,600,379.74,0.303141303,0.057027793,0.687793319,0.597229718
Al2Cl9K3,500,367.272,0.9234973,0.216118352,0.301463542,0.269210253
Al2Cl9K3,400,353.13,0.721915272,0.188751725,0.937730185,0.476065259
Al2Cl9K3,300,337.858,0.106940952,0.689634756,0.300406689,0.094496608
Al2Mg1O4,298,116.198,0.013134686,0.334893658,0.986338794,0.096584006
Al2Mg1O4,2700,242.291,0.064844056,0.023486444,0.337468549,0.506269756
Al2Mg1O4,2600,238.697,0.37681102,0.785477413,0.927883964,0.54258843
Al2Mg1O4,2500,235.095,0.984832615,0.208357529,0.566837355,0.483859424
Al2Mg1O4,2408,231.777,0.652344129,0.962830281,0.284426052,0.075377461
Al2Mg1O4,2400,231.488,0.274368762,0.882705344,0.766970436,0.555877529
Al2Mg1O4,2300,227.877,0.539496533,0.813623428,0.358215895,0.94918977
Al2Mg1O4,2200,224.254,0.167168152,0.727137495,0.163913334,0.212092906
Al2Mg1O4,2100,220.622,0.231002031,0.697330592,0.663354194,0.89940784
Al2Mg1O4,2000,216.982,0.665545787,0.055739816,0.251001159,0.123707666
Al2Mg1O4,1900,213.325,0.014664089,0.29126161,0.668419389,0.242548219
Al2Mg1O4,1800,209.652,0.171019312,0.313400113,0.548614593,0.86422228
Al2Mg1O4,1700,205.962,0.657632268,0.10993975,0.171258028,0.578439432
Al2Mg1O4,1600,202.238,0.985187976,0.771415392,0.693462513,0.944894696
Al2Mg1O4,1500,198.485,0.969075278,0.142749243,0.529226464,0.142621594
Al2Mg1O4,1400,194.686,0.117387798,0.980996677,0.034179154,0.159797744
Al2Mg1O4,1300,190.828,0.153320888,0.790714051,0.174835708,0.258336931
Al2Mg1O4,1200,186.895,0.189410164,0.772834244,0.712982946,0.244333002
Al2Mg1O4,1100,182.853,0.003554304,0.514838814,0.252802836,0.993979468
Al2Mg1O4,1000,178.657,0.102601465,0.296659615,0.10063911,0.155391703
Al2Mg1O4,900,174.238,0.901394524,0.747094946,0.365861892,0.420030926
Al2Mg1O4,800,169.473,0.680677895,0.553514622,0.729560095,0.206901121
Al2Mg1O4,700,164.155,0.960777597,0.043400357,0.482738594,0.43822394
Al2Mg1O4,600,157.887,0.858341038,0.095026975,0.071887438,0.855686705
Al2Mg1O4,500,149.829,0.311679655,0.091409493,0.359931418,0.339575778
Al2Mg1O4,400,137.988,0.989007736,0.806295504,0.978974423,0.706289018
Al2Mg1O4,300,116.533,0.379708941,0.491244366,0.721413719,0.677637261
Al2O3,298,79.015,0.014451229,0.440168132,0.60692816,0.912822314
Al2O3,2900,143.511,0.358277338,0.118233523,0.359556583,0.622995569
Al2O3,2800,142.591,0.612967499,0.475784064,0.121477646,0.526257821
Al2O3,2700,141.754,0.436473614,0.753164907,0.866762808,0.338019362
Al2O3,2600,140.959,0.853408142,0.822800985,0.038601251,0.590034701
Al2O3,2500,140.206,0.52332968,0.750353081,0.064487734,0.947297957
Al2O3,2400,139.453,0.228106197,0.759426195,0.206741066,0.683570564
Al2O3,2327,138.934,0.440987137,0.481348164,0.385481434,0.021893677
Al2O3,2300,138.741,0.592783786,0.663738683,0.597685562,0.776889205
Al2O3,2200,138.03,0.66886107,0.658896904,0.064399972,0.475639659
Al2O3,2100,137.319,0.260911031,0.756194697,0.835914247,0.700853001
Al2O3,2000,136.608,0.905753161,0.124770866,0.196837404,0.916639266
Al2O3,1900,135.896,0.77431406,0.78773938,0.135844124,0.633961095
Al2O3,1800,135.143,0.465299753,0.338119932,0.16486996,0.238870631
Al2O3,1700,134.306,0.665984234,0.25029514,0.152871467,0.880673547
Al2O3,1600,133.361,0.980025343,0.94918404,0.480310127,0.905996847
Al2O3,1500,132.29,0.716530159,0.295227535,0.590793417,0.393831754
Al2O3,1400,131.081,0.730977405,0.229989777,0.04199923,0.338193789
Al2O3,1300,129.737,0.832590044,0.80536286,0.60887107,0.333018733
Al2O3,1200,128.252,0.858084238,0.030099015,0.314544896,0.643624
Al2O3,1100,126.608,0.910598126,0.163589589,0.850142863,0.375279584
Al2O3,1000,124.771,0.800446314,0.768139728,0.428094942,0.499684821
Al2O3,900,122.662,0.256923858,0.163297901,0.725963831,0.374552003
Al2O3,800,120.135,0.568410726,0.803616474,0.582748529,0.811851971
Al2O3,700,116.926,0.611620556,0.426821596,0.553844778,0.279515044
Al2O3,600,112.545,0.908650198,0.600015079,0.811589235,0.120419782
Al2O3,500,106.131,0.029453319,0.427912245,0.714488034,0.798266065
Al2O3,400,96.086,0.956442784,0.419500013,0.188376382,0.993510451
Al2O3,300,79.416,0.792118643,0.631187697,0.818957463,0.535228282
B1,298,11.315,0.272921603,0.701640198,0.765610904,0.125784772
B1,2700,31.778,0.354178307,0.246255674,0.069869672,0.638955679
B1,2600,31.457,0.498583581,0.136677426,0.149273768,0.031473542
B1,2500,31.133,0.774514282,0.481817204,0.39444385,0.340717416
B1,2400,30.806,0.802311202,0.692789066,0.76732401,0.382992742
B1,2350,30.641,0.134316122,0.06261476,0.174447171,0.769316918
B1,2300,30.475,0.475060622,0.073551489,0.374671751,0.179023867
B1,2200,30.14,0.583572842,0.425752289,0.673311441,0.074420293
B1,2100,29.799,0.331016408,0.956824519,0.340837195,0.404960915
B1,2000,29.452,0.207795194,0.899526019,0.054742271,0.435509783
B1,1900,29.097,0.552742303,0.473223218,0.02569183,0.835097625
B1,1800,28.732,0.708870977,0.428448179,0.861868671,0.768026721
B1,1700,28.356,0.179305701,0.577899615,0.095835952,0.8237492
B1,1600,27.966,0.72873391,0.961401616,0.254602051,0.41925262
B1,1500,27.557,0.804455241,0.057467786,0.655682035,0.403509749
B1,1400,27.125,0.217431773,0.624066509,0.688826249,0.914122564
B1,1300,26.663,0.588555326,0.708845801,0.192532457,0.566476088
B1,1200,26.161,0.481868808,0.842416376,0.229192106,0.75323848
B1,1100,25.606,0.195785271,0.873246959,0.008435996,0.926784713
B1,1000,24.978,0.289298674,0.77019984,0.725139192,0.779340515
